value1,value2,value3,result
75,37,36,false
91,68,25,false
85,32,57,false
66,79,0,false
97,36,42,false
45,1,3,false
87,27,6,false
72,29,58,false
60,13,54,false
60,93,7,false
26,80,56,false
43,10,42,false
97,11,85,false
36,83,44,false
45,54,33,false
17,81,4,false
14,88,90,false
4,35,32,false
73,19,55,false
27,28,28,false
47,2,33,false
76,97,16,false
20,98,96,false
11,71,25,false
86,97,6,false
91,25,52,false
65,92,90,false
60,60,21,false
30,25,16,false
81,74,77,true
47,80,69,false
5,21,27,false
2,84,65,false
16,83,32,false
63,3,97,false
65,49,77,false
74,39,88,false
67,99,8,false
42,9,87,false
26,86,46,false
13,79,64,false
88,14,27,false
98,24,12,false
43,48,95,false
46,79,15,false
24,38,59,false
90,69,75,true
29,50,77,false
24,16,57,false
0,83,29,false
92,8,69,false
54,58,1,false
59,18,68,false
53,61,98,true
39,0,91,false
0,48,27,false
47,94,56,false
43,65,93,false
92,56,35,false
18,10,22,false
79,0,70,false
5,66,98,false
73,31,61,false
15,83,0,false
73,86,39,false
24,75,76,false
14,67,14,false
82,45,93,true
20,85,12,false
25,40,32,false
12,87,85,false
23,33,54,false
24,30,57,false
32,88,93,true
7,78,9,false
42,56,4,false
6,41,52,false
7,92,80,false
20,40,28,false
43,19,39,false
39,75,30,false
52,59,6,false
28,28,5,false
17,87,32,false
42,68,91,false
97,53,74,false
55,95,89,true
31,71,53,false
52,53,81,false
18,78,80,false
86,50,68,false
0,53,36,false
34,78,1,false
69,38,82,false
28,44,29,false
71,36,49,false
17,77,16,false
93,99,28,true
42,94,74,false
4,29,24,false
93,42,49,false
52,58,39,false
42,42,74,false
91,43,24,false
51,65,99,true
84,65,78,false
11,67,4,false
87,8,8,false
54,6,47,false
41,84,87,true
9,60,31,false
13,39,46,false
3,24,10,false
90,46,26,false
94,43,84,true
69,41,32,false
93,50,65,false
30,65,73,false
29,71,37,false
28,91,54,false
62,6,16,false
49,66,86,false
50,13,76,false
51,11,47,false
48,99,93,false
69,16,67,false
14,37,62,false
78,57,88,false
6,60,46,false
96,48,25,false
82,2,71,false
36,53,85,false
16,30,65,false
78,33,5,false
44,45,0,false
88,3,98,false
55,66,2,false
