value_0,value_1,value_2,result
367,333,na,false
291,9,339,false
363,99,919,false
na,991,946,false
na,686,377,false
287,909,149,false
74,334,651,false
854,103,715,false
878,895,669,true
543,233,475,false
612,306,28,false
892,508,103,false
301,47,785,false
na,630,668,false
503,324,568,false
na,638,882,false
399,588,33,false
6,306,973,false
927,736,416,false
973,668,92,false
147,306,839,false
368,49,417,false
293,906,91,false
955,745,201,false
638,341,115,false
800,297,na,false
661,129,547,false
902,767,388,false
529,689,687,false
576,429,821,false
163,175,928,false
56,930,78,false
245,330,834,false
961,641,205,false
354,437,284,false
66,571,427,false
35,658,239,false
657,502,89,false
103,503,367,false
713,605,460,false
na,578,336,false
533,802,80,false
78,593,na,false
314,313,714,false
164,411,256,false
55,941,657,false
403,273,81,false
893,na,372,false
65,512,883,false
178,871,914,false
350,115,843,false
910,794,201,false
563,465,768,false
525,na,267,false
852,475,na,false
669,na,240,false
706,84,119,false
391,705,777,false
74,601,584,false
716,21,153,false
271,424,880,false
14,na,927,false
10,529,na,false
856,339,620,false
na,278,319,false
na,346,591,false
23,na,10,false
674,6,830,false
865,612,403,false
945,746,52,false
11,915,75,false
111,779,960,false
611,997,224,false
828,413,276,false
716,569,384,false
593,322,302,false
558,841,46,false
400,972,901,false
na,847,392,false
735,579,na,false
730,855,579,false
770,223,482,false
133,189,647,false
817,116,na,false
89,364,505,false
765,154,831,false
88,na,65,false
669,109,768,false
737,152,308,false
904,834,92,false
na,645,556,false
142,944,955,false
517,317,286,false
839,330,352,false
923,54,927,false
na,391,78,false
980,706,564,false
208,582,514,false
68,na,128,false
780,443,789,false
130,831,371,false
671,96,457,false
146,496,641,false
511,689,na,false
664,na,542,false
na,51,311,false
484,919,933,false
769,405,799,false
234,346,na,false
645,408,27,false
na,91,797,false
714,444,393,false
676,na,774,true
844,908,345,false
295,262,954,false
783,244,11,false
131,778,na,false
39,115,252,false
287,562,925,false
605,962,92,false
889,374,786,false
522,na,299,false
63,603,159,false
864,324,791,false
587,752,633,false
598,183,531,false
523,270,605,false
318,108,na,false
930,268,770,false
759,544,na,false
963,92,357,false
192,na,701,false
340,400,169,false
850,345,903,false
706,908,808,true
527,884,912,false
793,715,772,true
675,500,90,false
220,428,816,false
791,527,336,false
66,879,189,false
192,na,358,false
na,171,304,false
16,433,na,false
918,508,717,false
703,315,971,false
703,360,653,false
942,668,15,false
248,425,587,false
373,925,330,false
897,180,na,false
201,867,687,false
753,532,487,false
117,237,843,false
na,459,66,false
74,182,137,false
768,234,111,false
804,89,533,false
156,918,41,false
510,702,987,false
582,558,755,false
775,na,687,true
354,106,540,false
739,857,803,true
112,311,661,false
931,752,737,true
421,410,4,false
901,215,548,false
48,791,548,false
293,163,844,false
539,676,827,false
66,874,692,false
363,288,156,false
na,789,188,false
750,102,111,false
310,728,19,false
143,664,527,false
98,547,355,false
203,863,767,false
576,na,137,false
859,527,419,false
174,344,356,false
440,909,950,false
561,22,na,false
566,21,395,false
16,422,859,false
27,96,160,false
657,689,458,false
790,na,182,false
389,886,67,false
135,343,916,false
689,220,223,false
130,175,965,false
759,344,187,false
896,902,546,false
708,418,143,false
321,339,346,false
332,363,221,false
321,305,707,false
376,160,74,false
204,357,62,false
609,374,580,false
129,69,40,false
243,987,659,false
490,26,236,false
589,139,161,false
552,718,843,false
990,na,684,false
999,990,126,false
401,113,na,false
400,908,676,false
976,208,na,false
996,620,762,false
572,143,na,false
495,953,42,false
na,985,407,false
613,542,897,false
128,799,847,false
317,na,780,false
164,910,158,false
929,na,451,false
500,839,189,false
408,421,432,false
682,495,278,false
279,151,715,false
798,250,797,false
257,985,574,false
277,662,237,false
729,687,572,false
644,378,898,false
383,414,183,false
425,481,256,false
865,755,289,false
110,182,247,false
731,817,168,false
390,823,889,false
823,961,535,false
198,909,906,false
213,328,275,false
5,375,207,false
204,950,3,false
107,604,951,false
518,555,207,false
957,607,564,false
360,419,506,false
na,106,962,false
na,600,79,false
319,144,907,false
864,887,641,false
na,796,655,true
186,301,858,false
718,262,857,false
646,730,647,false
268,831,386,false
414,63,na,false
954,912,313,false
291,850,425,false
889,652,906,true
724,682,720,true
631,488,263,false
413,71,715,false
299,426,907,false
533,492,na,false
999,965,881,true
na,507,309,false
318,616,748,false
776,51,478,false
368,84,266,false
4,655,135,false
713,902,704,true
109,752,657,false
46,na,551,false
973,na,979,true
882,845,151,false
63,553,937,false
958,912,397,false
237,362,695,false
754,66,434,false
577,246,264,false
216,469,749,false
774,645,76,false
674,na,233,false
610,390,198,false
522,241,648,false
18,418,725,false
na,19,670,false
224,272,109,false
509,922,253,false
215,76,759,false
947,na,785,true
544,74,na,false
564,672,174,false
486,433,949,false
142,702,na,false
539,336,231,false
30,900,4,false
380,775,370,false
674,818,835,true
882,431,351,false
904,na,236,false
660,453,579,false
na,683,999,false
837,207,374,false
501,563,757,false
417,164,937,false
355,514,49,false
13,440,542,false
748,73,440,false
272,940,426,false
na,715,518,false
898,na,263,false
496,513,835,false
na,468,19,false
652,859,579,false
444,642,990,false
626,983,718,false
447,881,108,false
498,926,886,false
644,918,na,false
772,424,50,false
225,44,376,false
532,362,746,false
498,811,960,false
934,348,199,false
509,213,357,false
456,na,692,false
517,518,198,false
